scatter energy,scatter locations,absorption energies,absorption locations
0.40935,"[13.4, 0.0, 80.6]",0.0922401,"[-13.4, 0.0, 80.6]"
0.395942,"[-13.4, 0.0, 80.6]",0.301711,"[0.0, 13.4, 80.6]"
0.42221,"[13.4, 0.0, 80.6]",0.224822,"[0.0, 13.4, 80.6]"
0.39963,"[-2.3, -2.2, 41.3]",0.232632,"[-3.2, 3.5, 39.6]"
0.372031,"[-13.4, 0.0, 80.6]",0.213934,"[0.0, -13.4, 80.6]"
0.352845,"[-13.4, 0.0, 80.6]",0.277702,"[0.0, 13.4, 80.6]"
0.190809,"[10.6, 2.7, 39.2]",0.0259795,"[-13.4, 0.0, 80.6]"
0.390325,"[0.0, -13.4, 80.6]",0.247942,"[13.4, 0.0, 80.6]"
0.411851,"[0.0, 13.4, 80.6]",0.264494,"[13.4, 0.0, 80.6]"
0.385473,"[13.4, 0.0, 80.6]",0.235711,"[-13.4, 0.0, 80.6]"
0.112527,"[3.4, -5.0, 40.8]",0.0455893,"[-13.4, 0.0, 80.6]"
0.39655,"[0.0, -13.4, 80.6]",0.279905,"[0.0, 13.4, 80.6]"
0.411713,"[-13.4, 0.0, 80.6]",0.26952,"[0.0, -13.4, 80.6]"
0.329546,"[13.4, 0.0, 80.6]",0.355135,"[0.0, -13.4, 80.6]"
0.363463,"[0.0, -13.4, 80.6]",0.243658,"[0.0, 13.4, 80.6]"
0.400803,"[-13.4, 0.0, 80.6]",0.233493,"[13.4, 0.0, 80.6]"
0.389256,"[0.0, -13.4, 80.6]",0.307938,"[-13.4, 0.0, 80.6]"
0.359518,"[0.0, -13.4, 80.6]",0.239947,"[13.4, 0.0, 80.6]"
0.396702,"[-13.4, 0.0, 80.6]",0.224729,"[13.4, 0.0, 80.6]"
0.33233,"[0.0, -13.4, 80.6]",0.313561,"[13.4, 0.0, 80.6]"
0.380311,"[0.0, 13.4, 80.6]",0.313612,"[13.4, 0.0, 80.6]"
0.428668,"[0.0, -13.4, 80.6]",0.275517,"[13.4, 0.0, 80.6]"
0.373523,"[-13.4, 0.0, 80.6]",0.233466,"[0.0, 13.4, 80.6]"
0.0956566,"[10.6, 2.7, 39.2]",0.545286,"[0.0, 13.4, 80.6]"
0.340785,"[0.0, -13.4, 80.6]",0.286813,"[-13.4, 0.0, 80.6]"
0.354368,"[-13.4, 0.0, 80.6]",0.326878,"[13.4, 0.0, 80.6]"
0.359719,"[-13.4, 0.0, 80.6]",0.336086,"[0.0, 13.4, 80.6]"
0.353131,"[-13.4, 0.0, 80.6]",0.27106,"[13.4, 0.0, 80.6]"
0.0596867,"[3.4, -5.0, 40.8]",0.630561,"[0.0, -13.4, 80.6]"
0.0996093,"[3.4, -5.0, 40.8]",0.137287,"[0.0, -13.4, 80.6]"
0.404659,"[0.0, -13.4, 80.6]",0.239082,"[-13.4, 0.0, 80.6]"
0.39878,"[-13.4, 0.0, 80.6]",0.238705,"[0.0, -13.4, 80.6]"
0.436716,"[-13.4, 0.0, 80.6]",0.266082,"[0.0, -13.4, 80.6]"
0.383769,"[13.4, 0.0, 80.6]",0.293578,"[0.0, -13.4, 80.6]"
0.40013,"[0.0, -13.4, 80.6]",0.294338,"[13.4, 0.0, 80.6]"
0.384745,"[0.0, -13.4, 80.6]",0.2326,"[13.4, 0.0, 80.6]"
